result_type,model,prompt_mode,data_points,mean_performance,std_performance,min_performance,max_performance,avg_cv,max_cv,min_cv
pp,hunyuan_05b,vp0,50,71.9808,0.7171594761876295,70.99,73.12,0.0314648534736627,0.09810791871058167,0.0
pp,hunyuan_05b,vp1,50,71.9716,0.7131715882490781,71.01,73.11,0.025871050501969646,0.12580374615599663,0.0
pp,hunyuan_05b,pf_file,50,71.94139999999999,0.7129187205010236,70.98,73.09,0.031206790263988614,0.1261918115535614,0.0
pp,qwen3_06b,vp0,50,67.01639999999999,0.6797861608548657,66.01,68.04,0.04335200622737493,0.1778304682868998,0.0
pp,qwen3_06b,vp1,50,67.0262,0.6817800531082779,66.06,68.1,0.03377563714893046,0.15008254539996999,0.0
pp,qwen3_06b,pf_file,50,67.036,0.6756282035171075,66.07,68.08,0.03290095518090212,0.10540581237765399,0.0
tg,hunyuan_05b,vp0,50,31.2436,0.11506448946001477,30.96,31.45,0.06660185056338594,0.1926163723916533,0.0
tg,hunyuan_05b,vp1,50,31.244600000000005,0.09914347467901544,31.02,31.45,0.06273545340632018,0.2573174654229656,0.0
tg,hunyuan_05b,pf_file,50,31.2172,0.13014967835346428,30.94,31.45,0.06598752124515687,0.3203074951953876,0.0
tg,qwen3_06b,vp0,50,27.429000000000002,0.2315453849812655,26.76,27.91,0.1291746972420385,1.3452914798206277,0.0
tg,qwen3_06b,vp1,50,27.717799999999997,0.10984757528465686,27.48,27.93,0.07439212337215073,0.32608695652173914,0.0
tg,qwen3_06b,pf_file,50,27.511400000000002,0.31002968916422396,26.46,27.87,0.14434296688453596,2.834467120181406,0.0
